183.60.212.148 - - [26/Aug/2014:06:26:39 -0600] "GET /entry/15205 HTTP/1.1" 200 4865 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)"
178.255.215.79 - - [26/Aug/2014:06:26:46 -0600] "GET /entry/656 HTTP/1.1" 200 5765 "-" "Mozilla/5.0 (compatible; Exabot/3.0; +http://www.exabot.com/go/robot)"
157.55.39.148 - - [26/Aug/2014:06:26:54 -0600] "GET /entry/5576 HTTP/1.1" 200 5161 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.69.193 - - [26/Aug/2014:06:26:55 -0600] "GET /region/870/feeds HTTP/1.1" 200 3337 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
65.55.219.79 - - [26/Aug/2014:06:26:57 -0600] "GET /robots.txt HTTP/1.1" 301 178 "-" "msnbot-UDiscovery/2.0b (+http://search.msn.com/msnbot.htm)"
65.55.219.79 - - [26/Aug/2014:06:26:57 -0600] "GET /robots.txt HTTP/1.1" 200 151 "-" "msnbot-UDiscovery/2.0b (+http://search.msn.com/msnbot.htm)"
65.55.219.79 - - [26/Aug/2014:06:26:57 -0600] "GET /site/recent.rss HTTP/1.1" 301 178 "-" "msnbot-UDiscovery/2.0b (+http://search.msn.com/msnbot.htm)"
65.55.219.79 - - [26/Aug/2014:06:26:57 -0600] "GET /robots.txt HTTP/1.1" 200 151 "-" "msnbot-UDiscovery/2.0b (+http://search.msn.com/msnbot.htm)"
65.55.219.79 - - [26/Aug/2014:06:26:58 -0600] "GET /site/recent.rss HTTP/1.1" 200 20227 "-" "msnbot-UDiscovery/2.0b (+http://search.msn.com/msnbot.htm)"
37.58.100.142 - - [26/Aug/2014:06:27:08 -0600] "GET /entry/near/0%2C0/filter?unit=mile;distance=25;sort_order=ASC;page=;order_by=distance;address=34034;limit= HTTP/1.1" 200 6192 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
194.0.59.52 - - [26/Aug/2014:06:27:08 -0600] "GET /site/recent.rss HTTP/1.1" 200 20227 "-" "Bloglovin/1.0 (http://www.bloglovin.com; 1 subscribers)"
68.180.225.35 - - [26/Aug/2014:06:27:10 -0600] "GET /entry/1817 HTTP/1.1" 200 4648 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
174.36.228.156 - - [26/Aug/2014:06:27:10 -0600] "GET / HTTP/1.1" 200 4334 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.0.19; aggregator:Spinn3r (Spinn3r 3.1); http://spinn3r.com/robot) Gecko/2010040121 Firefox/3.0.19"
66.249.69.161 - - [26/Aug/2014:06:27:11 -0600] "GET /entry-images/12465/12465-5223-small.jpg HTTP/1.1" 200 39104 "-" "Googlebot-Image/1.0"
123.125.71.114 - - [26/Aug/2014:06:27:19 -0600] "GET /entry/121 HTTP/1.1" 200 5599 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
207.46.13.94 - - [26/Aug/2014:06:27:27 -0600] "GET /entry/4869 HTTP/1.1" 200 4488 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
184.78.216.17 - - [26/Aug/2014:06:27:30 -0600] "GET /site/recent.atom HTTP/1.1" 200 20526 "-" "Apple-PubSub/65.28"
66.249.69.161 - - [26/Aug/2014:06:27:37 -0600] "GET /region/2758/filter/veg_level=2;category_id=1 HTTP/1.1" 200 4137 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.58.100.142 - - [26/Aug/2014:06:27:42 -0600] "GET /region/614/recent.atom HTTP/1.1" 200 15912 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
207.46.13.94 - - [26/Aug/2014:06:27:54 -0600] "GET /entry/4094/reviews HTTP/1.1" 200 4169 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
68.180.225.35 - - [26/Aug/2014:06:27:55 -0600] "GET /region/97/filter?sort_order=ASC;page=1;order_by=name;limit=20 HTTP/1.1" 200 10728 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
183.60.212.148 - - [26/Aug/2014:06:28:15 -0600] "GET /user/9989 HTTP/1.1" 200 3259 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)"
183.60.213.53 - - [26/Aug/2014:06:28:23 -0600] "GET /region/119/filter?sort_order=ASC;page=2;order_by=name;limit=20 HTTP/1.1" 200 8418 "-" "Mozilla/5.0 (compatible; EasouSpider; +http://www.easou.com/search/spider.html)"
207.46.13.94 - - [26/Aug/2014:06:28:24 -0600] "GET /7b0744/css/vegguide-combined.css HTTP/1.1" 200 20810 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
37.58.100.142 - - [26/Aug/2014:06:28:29 -0600] "GET /entry/near/39.3599%2C-110.945/map/veg_level=2?unit=mile;distance=20;address=84501 HTTP/1.1" 200 3365 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
37.58.100.142 - - [26/Aug/2014:06:28:36 -0600] "GET /entry/near/28.5207%2C-99.8885/filter/veg_level=2?unit=mile;distance=1;sort_order=DESC;page=1;order_by=rating;address=78834;limit=20 HTTP/1.1" 200 6314 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
68.180.225.35 - - [26/Aug/2014:06:28:43 -0600] "GET /region/13/map HTTP/1.1" 200 68816 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
66.249.69.193 - - [26/Aug/2014:06:28:46 -0600] "GET /entry/2160 HTTP/1.1" 200 5910 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
37.58.100.142 - - [26/Aug/2014:06:28:46 -0600] "GET /user/12220 HTTP/1.1" 200 3039 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
207.46.13.94 - - [26/Aug/2014:06:28:53 -0600] "GET /entry/17110 HTTP/1.1" 200 4520 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
87.253.132.201 - - [26/Aug/2014:06:28:57 -0600] "HEAD /region/60.rss HTTP/1.1" 200 0 "-" "Owlin Bot v. 3.0"
37.59.15.20 - - [26/Aug/2014:06:29:02 -0600] "GET /entry/3758 HTTP/1.1" 200 13993 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.3) Gecko/2008092416 Firefox/3.0.3"
131.253.24.96 - - [26/Aug/2014:06:29:07 -0600] "GET /entry/19028 HTTP/1.1" 200 4339 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0;  Trident/5.0)"
66.249.69.177 - - [26/Aug/2014:06:29:08 -0600] "GET /region/116/recent.rss HTTP/1.1" 200 15981 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
199.21.99.207 - - [26/Aug/2014:06:29:09 -0600] "GET /61db66/images/map-icons/restaurant3.png HTTP/1.1" 200 846 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)"
37.58.100.142 - - [26/Aug/2014:06:29:17 -0600] "GET /entry/10920 HTTP/1.1" 200 4408 "-" "Mozilla/5.0 (compatible; AhrefsBot/5.0; +http://ahrefs.com/robot/)"
66.249.69.193 - - [26/Aug/2014:06:29:21 -0600] "GET /entry-images/3173/3173-1611-small.jpg HTTP/1.1" 200 12826 "-" "Googlebot-Image/1.0"
157.55.39.237 - - [26/Aug/2014:06:29:24 -0600] "GET /entry/18567 HTTP/1.1" 200 4580 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
68.180.225.35 - - [26/Aug/2014:06:29:26 -0600] "GET /region/280/recent.rss HTTP/1.1" 200 16617 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
23.239.8.38 - - [26/Aug/2014:06:29:31 -0600] "GET / HTTP/1.1" 301 178 "-" "check_http/v1.4.15 (nagios-plugins 1.4.15)"
23.239.8.38 - - [26/Aug/2014:06:29:31 -0600] "GET / HTTP/1.1" 200 10098 "-" "check_http/v1.4.15 (nagios-plugins 1.4.15)"
198.204.244.179 - - [26/Aug/2014:06:29:31 -0600] "GET /region/107.rss HTTP/1.1" 200 910272 "-" "Opera/9.80 (Windows NT 6.2; Win64; x64) Presto/2.12.388 Version/12.16"
